home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
625,84,12:30,3D,2022-10-08,6,True,1-3,12:30,2022-10-08 12:30:00+02:00,2022-10-08 13:40:00+02:00
625,634,12:30,3D,2022-10-22,8,True,4-2,12:30,2022-10-22 12:30:00+02:00,2022-10-22 13:40:00+02:00
625,402,12:30,3D,2022-11-12,10,True,1-1,12:30,2022-11-12 12:30:00+01:00,2022-11-12 13:40:00+01:00
625,566,12:30,3D,2022-11-26,12,True,3-1,12:30,2022-11-26 12:30:00+01:00,2022-11-26 13:40:00+01:00
625,303,12:30,3D,2022-12-10,14,False,,12:30,2022-12-10 12:30:00+01:00,2022-12-10 13:40:00+01:00
625,235,12:30,3D,2022-12-17,15,False,,12:30,2022-12-17 12:30:00+01:00,2022-12-17 13:40:00+01:00
625,523,12:30,3D,2023-01-14,17,False,,12:30,2023-01-14 12:30:00+01:00,2023-01-14 13:40:00+01:00
625,624,12:30,3D,2023-01-28,19,False,,12:30,2023-01-28 12:30:00+01:00,2023-01-28 13:40:00+01:00
625,401,12:30,3D,2023-02-11,21,False,,12:30,2023-02-11 12:30:00+01:00,2023-02-11 13:40:00+01:00
625,637,12:30,3D,2023-03-11,24,False,,12:30,2023-03-11 12:30:00+01:00,2023-03-11 13:40:00+01:00
625,416,12:30,3D,2023-03-18,25,False,,12:30,2023-03-18 12:30:00+01:00,2023-03-18 13:40:00+01:00
235,634,14:00,3D,2022-09-10,2,False,,14:00,2022-09-10 14:00:00+02:00,2022-09-10 15:10:00+02:00
235,401,14:00,3D,2022-09-24,4,True,2-3,14:00,2022-09-24 14:00:00+02:00,2022-09-24 15:10:00+02:00
235,402,14:00,3D,2022-10-08,6,True,1-2,14:00,2022-10-08 14:00:00+02:00,2022-10-08 15:10:00+02:00
235,416,14:00,3D,2022-10-22,8,True,3-1,14:00,2022-10-22 14:00:00+02:00,2022-10-22 15:10:00+02:00
235,566,14:00,3D,2022-11-12,10,True,3-0,14:00,2022-11-12 14:00:00+01:00,2022-11-12 15:10:00+01:00
235,624,14:00,3D,2022-11-19,11,True,3-1,14:00,2022-11-19 14:00:00+01:00,2022-11-19 15:10:00+01:00
235,637,14:00,3D,2022-11-26,12,True,0-1,14:00,2022-11-26 14:00:00+01:00,2022-11-26 15:10:00+01:00
235,643,14:00,3D,2022-12-10,14,False,,14:00,2022-12-10 14:00:00+01:00,2022-12-10 15:10:00+01:00
235,303,14:00,3D,2023-01-14,17,False,,14:00,2023-01-14 14:00:00+01:00,2023-01-14 15:10:00+01:00
